Cell Name,Pin name,Direction,Max Transition,Area,Function,Leakage Power,Max_Cap,Input Transition Fall,Input Transition Rise,Output Capacitance Fall,Output Capacitance Rise,Delay Fall,Delay Rise,Delay Value Fall,Delay Value Rise,Max Pin Delay Fall,Max Pin Delay Rise
sky130_fd_sc_hd__a2111o_1,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.499941]",11.2608,(A1&A2)|(B1)|(C1)|(D1),0.001675069,"[0.002412, 0.002289, 0.00241, 0.002375, 0.002347, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00132834, 0.00352895, 0.00937526, 0.024907, 0.0661697, 0.175791]","[0.0005, 0.00132834, 0.00352895, 0.00937526, 0.024907, 0.0661697, 0.175791]","[0.4020018, 0.4125417, 0.4338126, 0.4750526, 0.5523861, 0.7061842, 1.0551442]","[0.1251233, 0.1325927, 0.1495871, 0.1885837, 0.2846892, 0.530456, 1.1788474]",0.4750526,0.1885837,A2,A2
sky130_fd_sc_hd__a2111o_2,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.502465]",12.512,(A1&A2)|(B1)|(C1)|(D1),0.00199315,"[0.002465, 0.002394, 0.002333, 0.002456, 0.002425, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00147092, 0.00432722, 0.01273, 0.0374497, 0.110171, 0.324107]","[0.0005, 0.00147092, 0.00432722, 0.01273, 0.0374497, 0.110171, 0.324107]","[0.4622788, 0.4714882, 0.4920876, 0.5330719, 0.6100879, 0.7614442, 1.1099017]","[0.1322998, 0.1382885, 0.1525456, 0.1855156, 0.2692391, 0.503892, 1.1847048]",0.5330719,0.1855156,A2,A2
sky130_fd_sc_hd__a2111o_4,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.499561]",21.2704,(A1&A2)|(B1)|(C1)|(D1),0.009148588,"[0.004296, 0.004466, 0.004463, 0.004398, 0.004313, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00159936, 0.00511594, 0.0163645, 0.0523456, 0.167439, 0.535593]","[0.0005, 0.00159936, 0.00511594, 0.0163645, 0.0523456, 0.167439, 0.535593]","[0.4862011, 0.4924626, 0.5089066, 0.5448581, 0.6169412, 0.7642657, 1.1119535]","[0.1552305, 0.1598858, 0.1723547, 0.2029143, 0.2805815, 0.5071073, 1.2191946]",0.5448581,0.2029143,A2,A1
sky130_fd_sc_hd__a2111oi_0,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.46219]",8.7584,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.0004219171,"[0.001894, 0.001845, 0.001748, 0.001895, 0.001773, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.000932701, 0.00173986, 0.00324554, 0.00605425, 0.0112936, 0.0210671]","[0.0005, 0.000932701, 0.00173986, 0.00324554, 0.00605425, 0.0112936, 0.0210671]","[0.0844721, 0.0893093, 0.097755, 0.1126254, 0.1390618, 0.1868581, 0.2730725]","[0.3079694, 0.3278548, 0.3644732, 0.4330449, 0.5599988, 0.7956229, 1.2334483]",0.1126254,0.4330449,A2,A2
sky130_fd_sc_hd__a2111oi_1,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.496226]",10.0096,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.000402294,"[0.002289, 0.00235, 0.002405, 0.002431, 0.002455, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.000995459, 0.00198188, 0.00394575, 0.00785567, 0.01564, 0.0311379]","[0.0005, 0.000995459, 0.00198188, 0.00394575, 0.00785567, 0.01564, 0.0311379]","[0.078138, 0.081514, 0.0878403, 0.0997324, 0.1213786, 0.1628733, 0.2425857]","[0.3295881, 0.3452432, 0.3761388, 0.4380079, 0.5602468, 0.8025327, 1.2818162]",0.0997324,0.4380079,A2,A2
sky130_fd_sc_hd__a2111oi_2,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.497111]",15.0144,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.001074878,"[0.004817, 0.004472, 0.004364, 0.004737, 0.004404, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00110027, 0.00242118, 0.00532788, 0.0117242, 0.0257995, 0.0567727]","[0.0005, 0.00110027, 0.00242118, 0.00532788, 0.0117242, 0.0257995, 0.0567727]","[0.0714036, 0.0737604, 0.0788228, 0.0892603, 0.1092139, 0.1499659, 0.2359972]","[0.3279921, 0.3382986, 0.3617275, 0.4116692, 0.5216736, 0.7615591, 1.2855881]",0.0892603,0.4116692,A2,A2
sky130_fd_sc_hd__a2111oi_4,"['A1', 'A2', 'B1', 'C1', 'D1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.500027]",27.5264,(!A1&!B1&!C1&!D1)|(!A2&!B1&!C1&!D1),0.001822726,"[0.008423, 0.008717, 0.008453, 0.008386, 0.008456, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00121958, 0.00297475, 0.00725588, 0.0176982, 0.0431688, 0.105296]","[0.0005, 0.00121958, 0.00297475, 0.00725588, 0.0176982, 0.0431688, 0.105296]","[0.0750916, 0.0769049, 0.0814274, 0.0911035, 0.1098633, 0.1541844, 0.2569184]","[0.3273903, 0.3345845, 0.3516507, 0.3921476, 0.4897137, 0.7249425, 1.2942378]",0.0911035,0.3921476,A1,A2
sky130_fd_sc_hd__a211o_1,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.500708]",8.7584,(A1&A2)|(B1)|(C1),0.003137275,"[0.00242, 0.002432, 0.002373, 0.00233, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00132949, 0.00353507, 0.00939965, 0.0249934, 0.0664568, 0.176707]","[0.0005, 0.00132949, 0.00353507, 0.00939965, 0.0249934, 0.0664568, 0.176707]","[0.2909573, 0.2997677, 0.3179217, 0.353538, 0.4214818, 0.5649178, 0.9131425]","[0.1164297, 0.1232365, 0.1390017, 0.175587, 0.2684822, 0.5112734, 1.1554356]",0.353538,0.175587,A2,A2
sky130_fd_sc_hd__a211o_2,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.50562]",10.0096,(A1&A2)|(B1)|(C1),0.003175101,"[0.002347, 0.002376, 0.00236, 0.002328, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00147161, 0.00433129, 0.012748, 0.0375202, 0.110431, 0.325022]","[0.0005, 0.00147161, 0.00433129, 0.012748, 0.0375202, 0.110431, 0.325022]","[0.3326989, 0.3406574, 0.358377, 0.3932299, 0.4603083, 0.5973059, 0.937094]","[0.1257447, 0.1314457, 0.1448634, 0.1761062, 0.2570024, 0.4893485, 1.1654133]",0.3932299,0.1761062,A2,A2
sky130_fd_sc_hd__a211o_4,"['A1', 'A2', 'B1', 'C1', 'X']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.503838]",17.5168,(A1&A2)|(B1)|(C1),0.004354992,"[0.004362, 0.004786, 0.004856, 0.004429, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.001611, 0.00519063, 0.0167242, 0.0538853, 0.173618, 0.559397]","[0.0005, 0.001611, 0.00519063, 0.0167242, 0.0538853, 0.173618, 0.559397]","[0.340074, 0.3451296, 0.3584006, 0.3879574, 0.4487248, 0.5794059, 0.9239829]","[0.1270807, 0.130917, 0.1413932, 0.1682033, 0.2411985, 0.4642995, 1.1746963]",0.3879574,0.1682033,A2,A2
sky130_fd_sc_hd__a211oi_1,"['A1', 'A2', 'B1', 'C1', 'Y']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.491005]",7.5072,(!A1&!B1&!C1)|(!A2&!B1&!C1),0.0009781671,"[0.002419, 0.002377, 0.002408, 0.002357, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00106849, 0.00228333, 0.00487942, 0.0104272, 0.0222826, 0.0476174]","[0.0005, 0.00106849, 0.00228333, 0.00487942, 0.0104272, 0.0222826, 0.0476174]","[0.0713092, 0.075431, 0.0837225, 0.0989469, 0.1287102, 0.1895463, 0.3162515]","[0.202069, 0.2146061, 0.240908, 0.2969003, 0.4157506, 0.6679557, 1.2051089]",0.0989469,0.2969003,A2,A2
sky130_fd_sc_hd__a211oi_2,"['A1', 'A2', 'B1', 'C1', 'Y']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.497255]",12.512,(!A1&!B1&!C1)|(!A2&!B1&!C1),0.001871196,"[0.00437, 0.004388, 0.004334, 0.004327, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00118547, 0.00281067, 0.00666394, 0.0157998, 0.0374603, 0.0888161]","[0.0005, 0.00118547, 0.00281067, 0.00666394, 0.0157998, 0.0374603, 0.0888161]","[0.0700249, 0.0729254, 0.0793927, 0.0932816, 0.1217631, 0.1850593, 0.3297718]","[0.2018622, 0.2102929, 0.2296311, 0.2749813, 0.380849, 0.6296717, 1.215641]",0.0932816,0.2749813,A2,A2
sky130_fd_sc_hd__a211oi_4,"['A1', 'A2', 'B1', 'C1', 'Y']","['input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.495194]",20.0192,(!A1&!B1&!C1)|(!A2&!B1&!C1),0.002506938,"[0.008481, 0.009125, 0.009113, 0.008576, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00128178, 0.00328593, 0.00842368, 0.0215946, 0.0553592, 0.141917]","[0.0005, 0.00128178, 0.00328593, 0.00842368, 0.0215946, 0.0553592, 0.141917]","[0.0638202, 0.0656176, 0.0700202, 0.0804781, 0.102411, 0.1529628, 0.2761225]","[0.2247729, 0.2305849, 0.2453511, 0.2824516, 0.3761824, 0.6135866, 1.2182323]",0.0804781,0.2824516,A2,A2
sky130_fd_sc_hd__a21bo_1,"['A1', 'A2', 'B1_N', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.508648]",10.0096,(A1&A2)|(!B1_N),0.00726754,"[0.002427, 0.002444, 0.001733, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.0013374, 0.0035773, 0.00956858, 0.0255941, 0.0684593, 0.183115]","[0.0005, 0.0013374, 0.0035773, 0.00956858, 0.0255941, 0.0684593, 0.183115]","[0.1968277, 0.2036854, 0.2181886, 0.2470006, 0.3065232, 0.4447517, 0.8053408]","[0.1876242, 0.1937923, 0.2080946, 0.2432005, 0.3345978, 0.577598, 1.2267634]",0.2470006,0.2432005,A2,B1_N
sky130_fd_sc_hd__a21bo_2,"['A1', 'A2', 'B1_N', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.504483]",10.0096,(A1&A2)|(!B1_N),0.004714652,"[0.002393, 0.002371, 0.001337, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00144258, 0.0041621, 0.0120084, 0.0346461, 0.0999599, 0.288401]","[0.0005, 0.00144258, 0.0041621, 0.0120084, 0.0346461, 0.0999599, 0.288401]","[0.222775, 0.2285509, 0.2415755, 0.2677388, 0.3196182, 0.4350404, 0.7405579]","[0.2028143, 0.2079968, 0.2205967, 0.2513656, 0.3341475, 0.5685296, 1.2468351]",0.2677388,0.2513656,A2,B1_N
sky130_fd_sc_hd__a21bo_4,"['A1', 'A2', 'B1_N', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.502807]",16.2656,(A1&A2)|(!B1_N),0.006858508,"[0.004411, 0.004794, 0.00238, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00156777, 0.00491582, 0.0154138, 0.0483306, 0.151543, 0.475169]","[0.0005, 0.00156777, 0.00491582, 0.0154138, 0.0483306, 0.151543, 0.475169]","[0.2257639, 0.2296417, 0.2394864, 0.2610704, 0.3058354, 0.4070586, 0.6856051]","[0.1910541, 0.1945636, 0.2041682, 0.2293195, 0.3013612, 0.5227239, 1.2166573]",0.2610704,0.2293195,A2,B1_N
sky130_fd_sc_hd__a21boi_0,"['A1', 'A2', 'B1_N', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.486662]",7.5072,(!A1&B1_N)|(!A2&B1_N),0.002477802,"[0.001801, 0.001718, 0.001623, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00107188, 0.00229787, 0.0049261, 0.0105604, 0.0226391, 0.0485329]","[0.0005, 0.00107188, 0.00229787, 0.0049261, 0.0105604, 0.0226391, 0.0485329]","[0.1357703, 0.1405978, 0.1495512, 0.1658948, 0.1966687, 0.2580408, 0.3873993]","[0.1427625, 0.1551179, 0.181554, 0.23769, 0.357045, 0.6119296, 1.1559412]",0.1658948,0.23769,B1_N,A2
sky130_fd_sc_hd__a21boi_1,"['A1', 'A2', 'B1_N', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.496811]",7.5072,(!A1&B1_N)|(!A2&B1_N),0.003028805,"[0.002334, 0.002313, 0.001637, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00115507, 0.00266839, 0.00616436, 0.0142406, 0.0328978, 0.0759987]","[0.0005, 0.00115507, 0.00266839, 0.00616436, 0.0142406, 0.0328978, 0.0759987]","[0.1436606, 0.1480046, 0.1564462, 0.1724594, 0.2019123, 0.2621345, 0.3959252]","[0.1340321, 0.1436116, 0.1652343, 0.2143304, 0.326095, 0.5819432, 1.1700525]",0.1724594,0.2143304,B1_N,B1_N
sky130_fd_sc_hd__a21boi_2,"['A1', 'A2', 'B1_N', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.491263]",11.2608,(!A1&B1_N)|(!A2&B1_N),0.00351606,"[0.004442, 0.004795, 0.001547, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00126172, 0.00318386, 0.00803428, 0.020274, 0.0511601, 0.129099]","[0.0005, 0.00126172, 0.00318386, 0.00803428, 0.020274, 0.0511601, 0.129099]","[0.1696245, 0.1734004, 0.1813296, 0.1967385, 0.2255536, 0.2816291, 0.406569]","[0.1451175, 0.1510098, 0.1662835, 0.2041721, 0.2979831, 0.5319374, 1.1193461]",0.1967385,0.2041721,B1_N,B1_N
sky130_fd_sc_hd__a21boi_4,"['A1', 'A2', 'B1_N', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.496245]",18.768,(!A1&B1_N)|(!A2&B1_N),0.008497305,"[0.00858, 0.009235, 0.002473, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00137384, 0.00377485, 0.0103721, 0.028499, 0.0783059, 0.215159]","[0.0005, 0.00137384, 0.00377485, 0.0103721, 0.028499, 0.0783059, 0.215159]","[0.1565518, 0.1587095, 0.1640267, 0.175891, 0.2000894, 0.2497649, 0.3686033]","[0.1626899, 0.1668723, 0.1785672, 0.2101744, 0.2951376, 0.5240045, 1.1481623]",0.175891,0.2101744,B1_N,B1_N
sky130_fd_sc_hd__a21o_1,"['A1', 'A2', 'B1', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.504107]",7.5072,(A1&A2)|(B1),0.005903084,"[0.002392, 0.002334, 0.00242, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00133063, 0.00354116, 0.00942396, 0.0250797, 0.0667436, 0.177622]","[0.0005, 0.00133063, 0.00354116, 0.00942396, 0.0250797, 0.0667436, 0.177622]","[0.1855613, 0.1921034, 0.2059217, 0.2335375, 0.290691, 0.4248555, 0.7750235]","[0.1093766, 0.1159454, 0.1311501, 0.1672222, 0.2597979, 0.5030806, 1.1485974]",0.2335375,0.1672222,A2,A2
sky130_fd_sc_hd__a21o_2,"['A1', 'A2', 'B1', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.505726]",8.7584,(A1&A2)|(B1),0.005101721,"[0.002359, 0.002315, 0.00238, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00145963, 0.00426102, 0.012439, 0.0363126, 0.106006, 0.309458]","[0.0005, 0.00145963, 0.00426102, 0.012439, 0.0363126, 0.106006, 0.309458]","[0.2201979, 0.2262565, 0.239774, 0.2668297, 0.3209424, 0.4430773, 0.7730511]","[0.122148, 0.127701, 0.140905, 0.1721808, 0.254052, 0.4880129, 1.1642901]",0.2668297,0.1721808,A2,A2
sky130_fd_sc_hd__a21o_4,"['A1', 'A2', 'B1', 'X']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.508065]",15.0144,(A1&A2)|(B1),0.005883975,"[0.0044, 0.004794, 0.004415, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00161536, 0.00521879, 0.0168605, 0.0544716, 0.175983, 0.568552]","[0.0005, 0.00161536, 0.00521879, 0.0168605, 0.0544716, 0.175983, 0.568552]","[0.2265678, 0.2304777, 0.240615, 0.2634019, 0.3113485, 0.4248725, 0.7540166]","[0.118059, 0.1216991, 0.1315874, 0.1572195, 0.2289073, 0.4519153, 1.1684128]",0.2634019,0.1572195,A2,A2
sky130_fd_sc_hd__a21oi_1,"['A1', 'A2', 'B1', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.504704]",5.0048,(!A1&!B1)|(!A2&!B1),0.001652086,"[0.002352, 0.002321, 0.002323, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00115039, 0.00264678, 0.00608965, 0.0140109, 0.032236, 0.0741677]","[0.0005, 0.00115039, 0.00264678, 0.00608965, 0.0140109, 0.032236, 0.0741677]","[0.0652475, 0.0699769, 0.0802198, 0.1004714, 0.1419712, 0.2346617, 0.4459217]","[0.1324927, 0.1421989, 0.1638037, 0.2130083, 0.3251331, 0.5812509, 1.1687474]",0.1004714,0.2130083,A2,A2
sky130_fd_sc_hd__a21oi_2,"['A1', 'A2', 'B1', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.500884]",8.7584,(!A1&!B1)|(!A2&!B1),0.001787537,"[0.004443, 0.00483, 0.004413, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00126022, 0.00317632, 0.00800574, 0.020178, 0.0508576, 0.128184]","[0.0005, 0.00126022, 0.00317632, 0.00800574, 0.020178, 0.0508576, 0.128184]","[0.0574287, 0.060609, 0.0679699, 0.0832999, 0.1155758, 0.1907306, 0.3763164]","[0.1348692, 0.1408744, 0.1561163, 0.1940498, 0.2883249, 0.5237995, 1.1139557]",0.0832999,0.1940498,A2,A2
sky130_fd_sc_hd__a21oi_4,"['A1', 'A2', 'B1', 'Y']","['input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.496663]",16.2656,(!A1&!B1)|(!A2&!B1),0.00319577,"[0.008571, 0.009238, 0.008596, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00138057, 0.00381196, 0.0105254, 0.0290621, 0.0802448, 0.221568]","[0.0005, 0.00138057, 0.00381196, 0.0105254, 0.0290621, 0.0802448, 0.221568]","[0.0582558, 0.0602947, 0.0652601, 0.0777804, 0.1065639, 0.1770607, 0.367628]","[0.14533, 0.1496031, 0.1613673, 0.1928352, 0.2792188, 0.514288, 1.1581179]",0.0777804,0.1928352,A2,A2
sky130_fd_sc_hd__a221o_1,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.499591]",10.0096,(B1&B2)|(A1&A2)|(C1),0.002656795,"[0.002342, 0.002354, 0.002361, 0.002367, 0.002273, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00130547, 0.00340849, 0.00889933, 0.0232356, 0.0606665, 0.158396]","[0.0005, 0.00130547, 0.00340849, 0.00889933, 0.0232356, 0.0606665, 0.158396]","[0.343506, 0.3530606, 0.3722734, 0.4086489, 0.4762593, 0.6152399, 0.9410532]","[0.1359734, 0.1441635, 0.1619924, 0.2013576, 0.2969254, 0.5424669, 1.1801572]",0.4086489,0.2013576,A2,A1
sky130_fd_sc_hd__a221o_2,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.503836]",11.2608,(B1&B2)|(A1&A2)|(C1),0.00307405,"[0.002327, 0.002344, 0.002346, 0.00236, 0.002257, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.0014516, 0.00421429, 0.0122349, 0.0355205, 0.103123, 0.299387]","[0.0005, 0.0014516, 0.00421429, 0.0122349, 0.0355205, 0.103123, 0.299387]","[0.3861022, 0.3944859, 0.4131878, 0.4489641, 0.5166054, 0.651742, 0.976013]","[0.1444801, 0.1511501, 0.1665112, 0.2008896, 0.2849631, 0.5193896, 1.1986647]",0.4489641,0.2008896,A2,A1
sky130_fd_sc_hd__a221o_4,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.504682]",21.2704,(B1&B2)|(A1&A2)|(C1),0.007406254,"[0.004489, 0.004361, 0.004234, 0.00427, 0.004311, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00160027, 0.00512176, 0.0163924, 0.0524648, 0.167916, 0.537424]","[0.0005, 0.00160027, 0.00512176, 0.0163924, 0.0524648, 0.167916, 0.537424]","[0.4296205, 0.4354836, 0.4504203, 0.4830292, 0.5473111, 0.6813435, 1.0162293]","[0.1543518, 0.1592329, 0.1721667, 0.2032939, 0.2810673, 0.5087415, 1.2243745]",0.4830292,0.2032939,A2,A1
sky130_fd_sc_hd__a221oi_1,"['A1', 'A2', 'B1', 'B2', 'C1', 'Y']","['input', 'input', 'input', 'input', 'input', 'output']","[1.5, 1.5, 1.5, 1.5, 1.5, 1.751713]",8.7584,(!A1&!B1&!C1)|(!A1&!B2&!C1)|(!A2&!B1&!C1)|(!A2&!B2&!C1),0.001777997,"[0.002311, 0.002304, 0.002325, 0.002344, 0.002249, 'Not Available']","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.01, 0.0230506, 0.0531329, 0.122474, 0.282311, 0.650743, 1.5]","[0.0005, 0.00109427, 0.00239486, 0.00524126, 0.0114707, 0.0251042, 0.0549416]","[0.0005, 0.00109427, 0.00239486, 0.00524126, 0.0114707, 0.0251042, 0.0549416]","[0.0823739, 0.0866726, 0.0952232, 0.112582, 0.1480916, 0.2222572, 0.3794492]","[0.2560103, 0.2684649, 0.2972826, 0.3581779, 0.4914958, 0.780653, 1.4104494]",0.112582,0.3581779,A2,A2
